Pavarde        Vardas         Galutinis      
Pavarde215     Vardas215      5.24           
Pavarde216     Vardas216      8.96           
Pavarde217     Vardas217      5.76           
Pavarde224     Vardas224      7.16           
Pavarde226     Vardas226      5.96           
Pavarde227     Vardas227      5.20           
Pavarde228     Vardas228      6.36           
Pavarde229     Vardas229      6.76           
Pavarde230     Vardas230      5.72           
Pavarde231     Vardas231      6.56           
Pavarde236     Vardas236      7.72           
Pavarde238     Vardas238      6.08           
Pavarde239     Vardas239      8.64           
Pavarde240     Vardas240      7.84           
Pavarde241     Vardas241      7.84           
Pavarde242     Vardas242      5.72           
Pavarde243     Vardas243      8.72           
Pavarde245     Vardas245      5.96           
Pavarde246     Vardas246      7.64           
Pavarde247     Vardas247      7.48           
Pavarde248     Vardas248      6.72           
Pavarde249     Vardas249      8.24           
Pavarde250     Vardas250      6.44           
Pavarde251     Vardas251      6.48           
Pavarde253     Vardas253      6.64           
Pavarde256     Vardas256      7.88           
Pavarde259     Vardas259      8.36           
Pavarde260     Vardas260      8.32           
Pavarde261     Vardas261      5.92           
Pavarde264     Vardas264      6.32           
Pavarde266     Vardas266      6.88           
Pavarde267     Vardas267      7.36           
Pavarde270     Vardas270      6.04           
Pavarde271     Vardas271      8.36           
Pavarde272     Vardas272      5.76           
Pavarde273     Vardas273      6.64           
Pavarde278     Vardas278      7.12           
Pavarde281     Vardas281      8.08           
Pavarde285     Vardas285      6.68           
Pavarde287     Vardas287      8.76           
Pavarde288     Vardas288      7.52           
Pavarde290     Vardas290      7.24           
Pavarde292     Vardas292      5.52           
Pavarde294     Vardas294      7.24           
Pavarde297     Vardas297      7.40           
Pavarde298     Vardas298      6.16           
Pavarde299     Vardas299      7.92           
Pavarde302     Vardas302      8.72           
Pavarde303     Vardas303      6.00           
Pavarde304     Vardas304      8.48           
Pavarde306     Vardas306      8.24           
Pavarde307     Vardas307      5.24           
Pavarde309     Vardas309      6.68           
Pavarde312     Vardas312      8.12           
Pavarde313     Vardas313      6.48           
Pavarde314     Vardas314      7.88           
Pavarde315     Vardas315      8.04           
Pavarde319     Vardas319      7.04           
Pavarde320     Vardas320      7.56           
Pavarde325     Vardas325      5.52           
Pavarde326     Vardas326      5.92           
Pavarde328     Vardas328      7.92           
Pavarde329     Vardas329      8.08           
Pavarde330     Vardas330      7.16           
Pavarde331     Vardas331      6.00           
Pavarde336     Vardas336      6.40           
Pavarde337     Vardas337      7.52           
Pavarde339     Vardas339      8.12           
Pavarde340     Vardas340      7.28           
Pavarde341     Vardas341      8.24           
Pavarde343     Vardas343      7.40           
Pavarde344     Vardas344      7.64           
Pavarde345     Vardas345      5.52           
Pavarde347     Vardas347      5.52           
Pavarde348     Vardas348      6.04           
Pavarde350     Vardas350      5.28           
Pavarde351     Vardas351      5.60           
Pavarde352     Vardas352      7.84           
Pavarde353     Vardas353      5.24           
Pavarde354     Vardas354      6.80           
Pavarde356     Vardas356      8.72           
Pavarde357     Vardas357      5.12           
Pavarde358     Vardas358      7.60           
Pavarde359     Vardas359      8.24           
Pavarde360     Vardas360      5.08           
Pavarde361     Vardas361      8.80           
Pavarde363     Vardas363      7.40           
Pavarde369     Vardas369      6.04           
Pavarde376     Vardas376      5.08           
Pavarde378     Vardas378      6.08           
Pavarde379     Vardas379      8.08           
Pavarde381     Vardas381      7.84           
Pavarde382     Vardas382      6.28           
Pavarde383     Vardas383      5.40           
Pavarde391     Vardas391      8.24           
Pavarde392     Vardas392      6.28           
Pavarde394     Vardas394      6.44           
Pavarde395     Vardas395      5.96           
Pavarde397     Vardas397      6.36           
Pavarde398     Vardas398      6.64           
Pavarde399     Vardas399      5.20           
Pavarde401     Vardas401      7.84           
Pavarde403     Vardas403      6.88           
Pavarde404     Vardas404      6.68           
Pavarde406     Vardas406      5.56           
Pavarde407     Vardas407      5.64           
Pavarde408     Vardas408      7.92           
Pavarde409     Vardas409      7.08           
Pavarde411     Vardas411      6.56           
Pavarde412     Vardas412      5.80           
Pavarde414     Vardas414      5.60           
Pavarde415     Vardas415      6.48           
Pavarde416     Vardas416      5.24           
Pavarde418     Vardas418      8.64           
Pavarde419     Vardas419      6.40           
Pavarde420     Vardas420      6.48           
Pavarde422     Vardas422      7.48           
Pavarde426     Vardas426      8.00           
Pavarde427     Vardas427      7.72           
Pavarde428     Vardas428      5.92           
Pavarde431     Vardas431      8.92           
Pavarde434     Vardas434      7.00           
Pavarde435     Vardas435      6.16           
Pavarde438     Vardas438      6.24           
Pavarde440     Vardas440      7.92           
Pavarde441     Vardas441      7.92           
Pavarde445     Vardas445      7.40           
Pavarde448     Vardas448      6.44           
Pavarde450     Vardas450      6.52           
Pavarde452     Vardas452      8.40           
Pavarde453     Vardas453      6.20           
Pavarde454     Vardas454      8.24           
Pavarde457     Vardas457      9.12           
Pavarde458     Vardas458      5.64           
Pavarde459     Vardas459      7.16           
Pavarde460     Vardas460      5.36           
Pavarde461     Vardas461      7.88           
Pavarde462     Vardas462      8.96           
Pavarde464     Vardas464      6.44           
Pavarde466     Vardas466      6.48           
Pavarde468     Vardas468      6.96           
Pavarde469     Vardas469      7.36           
Pavarde470     Vardas470      5.68           
Pavarde473     Vardas473      5.36           
Pavarde474     Vardas474      6.36           
Pavarde475     Vardas475      6.88           
Pavarde479     Vardas479      6.88           
Pavarde480     Vardas480      7.32           
Pavarde481     Vardas481      7.80           
Pavarde486     Vardas486      5.44           
Pavarde488     Vardas488      7.88           
Pavarde489     Vardas489      7.56           
Pavarde490     Vardas490      5.96           
Pavarde491     Vardas491      8.96           
Pavarde493     Vardas493      6.92           
Pavarde494     Vardas494      7.76           
Pavarde497     Vardas497      5.20           
Pavarde498     Vardas498      5.28           
Pavarde499     Vardas499      5.24           
Pavarde500     Vardas500      6.12           
Pavarde501     Vardas501      7.00           
Pavarde502     Vardas502      7.28           
Pavarde508     Vardas508      6.56           
Pavarde510     Vardas510      5.24           
Pavarde513     Vardas513      8.56           
Pavarde514     Vardas514      6.88           
Pavarde515     Vardas515      7.56           
Pavarde521     Vardas521      7.20           
Pavarde522     Vardas522      5.68           
Pavarde526     Vardas526      8.80           
Pavarde527     Vardas527      5.84           
Pavarde529     Vardas529      5.24           
Pavarde530     Vardas530      7.92           
Pavarde531     Vardas531      5.68           
Pavarde532     Vardas532      5.68           
Pavarde536     Vardas536      5.84           
Pavarde537     Vardas537      8.80           
Pavarde538     Vardas538      6.32           
Pavarde541     Vardas541      7.04           
Pavarde542     Vardas542      5.12           
Pavarde544     Vardas544      5.20           
Pavarde546     Vardas546      5.72           
Pavarde547     Vardas547      7.32           
Pavarde549     Vardas549      7.72           
Pavarde550     Vardas550      6.04           
Pavarde553     Vardas553      7.80           
Pavarde555     Vardas555      7.20           
Pavarde556     Vardas556      5.76           
Pavarde558     Vardas558      8.76           
Pavarde559     Vardas559      6.80           
Pavarde561     Vardas561      5.84           
Pavarde563     Vardas563      5.92           
Pavarde565     Vardas565      6.52           
Pavarde566     Vardas566      7.88           
Pavarde567     Vardas567      6.92           
Pavarde571     Vardas571      5.68           
Pavarde574     Vardas574      6.24           
Pavarde576     Vardas576      6.28           
Pavarde577     Vardas577      5.16           
Pavarde578     Vardas578      5.36           
Pavarde579     Vardas579      6.08           
Pavarde581     Vardas581      6.76           
Pavarde582     Vardas582      5.80           
Pavarde584     Vardas584      6.60           
Pavarde586     Vardas586      6.32           
Pavarde587     Vardas587      6.72           
Pavarde589     Vardas589      5.64           
Pavarde590     Vardas590      7.88           
Pavarde594     Vardas594      5.52           
Pavarde595     Vardas595      7.40           
Pavarde598     Vardas598      9.12           
Pavarde603     Vardas603      8.48           
Pavarde604     Vardas604      7.16           
Pavarde605     Vardas605      5.72           
Pavarde608     Vardas608      5.12           
Pavarde611     Vardas611      7.76           
Pavarde617     Vardas617      7.80           
Pavarde618     Vardas618      7.12           
Pavarde620     Vardas620      6.92           
Pavarde621     Vardas621      6.16           
Pavarde622     Vardas622      5.48           
Pavarde623     Vardas623      5.80           
Pavarde625     Vardas625      5.84           
Pavarde629     Vardas629      8.36           
Pavarde631     Vardas631      7.40           
Pavarde632     Vardas632      5.96           
Pavarde633     Vardas633      7.40           
Pavarde636     Vardas636      7.44           
Pavarde639     Vardas639      5.44           
Pavarde640     Vardas640      7.68           
Pavarde641     Vardas641      7.96           
Pavarde643     Vardas643      5.48           
Pavarde646     Vardas646      5.12           
Pavarde647     Vardas647      7.68           
Pavarde651     Vardas651      7.16           
Pavarde654     Vardas654      7.24           
Pavarde655     Vardas655      7.56           
Pavarde657     Vardas657      8.20           
Pavarde660     Vardas660      5.12           
Pavarde661     Vardas661      5.08           
Pavarde663     Vardas663      8.56           
Pavarde664     Vardas664      6.36           
Pavarde667     Vardas667      7.00           
Pavarde668     Vardas668      7.84           
Pavarde670     Vardas670      7.96           
Pavarde672     Vardas672      6.00           
Pavarde673     Vardas673      7.84           
Pavarde674     Vardas674      6.12           
Pavarde676     Vardas676      6.36           
Pavarde677     Vardas677      5.88           
Pavarde678     Vardas678      8.24           
Pavarde679     Vardas679      5.16           
Pavarde680     Vardas680      5.00           
Pavarde681     Vardas681      5.72           
Pavarde683     Vardas683      7.04           
Pavarde684     Vardas684      6.28           
Pavarde685     Vardas685      8.48           
Pavarde686     Vardas686      6.56           
Pavarde691     Vardas691      6.52           
Pavarde694     Vardas694      7.84           
Pavarde695     Vardas695      5.48           
Pavarde698     Vardas698      5.64           
Pavarde700     Vardas700      7.84           
Pavarde701     Vardas701      7.96           
Pavarde703     Vardas703      6.48           
Pavarde706     Vardas706      7.72           
Pavarde712     Vardas712      7.92           
Pavarde718     Vardas718      8.72           
Pavarde720     Vardas720      6.12           
Pavarde724     Vardas724      8.32           
Pavarde726     Vardas726      7.04           
Pavarde728     Vardas728      6.60           
Pavarde729     Vardas729      6.36           
Pavarde730     Vardas730      5.36           
Pavarde732     Vardas732      7.08           
Pavarde734     Vardas734      5.40           
Pavarde735     Vardas735      7.16           
Pavarde736     Vardas736      7.48           
Pavarde740     Vardas740      8.56           
Pavarde744     Vardas744      5.24           
Pavarde745     Vardas745      6.24           
Pavarde746     Vardas746      7.64           
Pavarde747     Vardas747      6.04           
Pavarde748     Vardas748      6.96           
Pavarde751     Vardas751      6.68           
Pavarde752     Vardas752      7.20           
Pavarde756     Vardas756      5.84           
Pavarde757     Vardas757      8.64           
Pavarde760     Vardas760      5.84           
Pavarde761     Vardas761      6.32           
Pavarde764     Vardas764      8.24           
Pavarde766     Vardas766      8.12           
Pavarde767     Vardas767      8.08           
Pavarde768     Vardas768      6.32           
Pavarde770     Vardas770      7.80           
Pavarde772     Vardas772      5.64           
Pavarde773     Vardas773      7.52           
Pavarde775     Vardas775      9.04           
Pavarde776     Vardas776      5.20           
Pavarde777     Vardas777      5.76           
Pavarde783     Vardas783      7.68           
Pavarde785     Vardas785      7.56           
Pavarde786     Vardas786      5.72           
Pavarde787     Vardas787      5.24           
Pavarde788     Vardas788      7.28           
Pavarde792     Vardas792      8.24           
Pavarde793     Vardas793      6.32           
Pavarde794     Vardas794      5.64           
Pavarde795     Vardas795      5.52           
Pavarde797     Vardas797      6.76           
Pavarde798     Vardas798      5.92           
Pavarde799     Vardas799      5.72           
Pavarde801     Vardas801      5.80           
Pavarde804     Vardas804      7.28           
Pavarde805     Vardas805      8.52           
Pavarde806     Vardas806      6.32           
Pavarde807     Vardas807      8.32           
Pavarde808     Vardas808      6.72           
Pavarde810     Vardas810      7.36           
Pavarde811     Vardas811      6.00           
Pavarde813     Vardas813      5.60           
Pavarde817     Vardas817      6.88           
Pavarde818     Vardas818      5.20           
Pavarde819     Vardas819      6.88           
Pavarde820     Vardas820      5.48           
Pavarde823     Vardas823      6.44           
Pavarde824     Vardas824      6.60           
Pavarde825     Vardas825      8.80           
Pavarde826     Vardas826      7.60           
Pavarde829     Vardas829      8.56           
Pavarde830     Vardas830      6.44           
Pavarde834     Vardas834      7.08           
Pavarde837     Vardas837      5.16           
Pavarde838     Vardas838      7.08           
Pavarde839     Vardas839      7.20           
Pavarde841     Vardas841      5.12           
Pavarde842     Vardas842      7.48           
Pavarde848     Vardas848      7.56           
Pavarde849     Vardas849      6.40           
Pavarde851     Vardas851      5.88           
Pavarde852     Vardas852      7.44           
Pavarde854     Vardas854      6.12           
Pavarde855     Vardas855      7.36           
Pavarde856     Vardas856      7.48           
Pavarde859     Vardas859      6.16           
Pavarde862     Vardas862      7.40           
Pavarde863     Vardas863      7.80           
Pavarde864     Vardas864      8.36           
Pavarde867     Vardas867      5.76           
Pavarde868     Vardas868      5.44           
Pavarde870     Vardas870      7.16           
Pavarde871     Vardas871      6.64           
Pavarde872     Vardas872      5.08           
Pavarde873     Vardas873      5.80           
Pavarde874     Vardas874      5.00           
Pavarde875     Vardas875      7.12           
Pavarde878     Vardas878      7.84           
Pavarde880     Vardas880      6.80           
Pavarde884     Vardas884      7.04           
Pavarde885     Vardas885      5.60           
Pavarde886     Vardas886      6.52           
Pavarde887     Vardas887      7.08           
Pavarde890     Vardas890      7.36           
Pavarde891     Vardas891      6.08           
Pavarde893     Vardas893      8.20           
Pavarde896     Vardas896      8.48           
Pavarde899     Vardas899      7.40           
Pavarde901     Vardas901      5.60           
Pavarde902     Vardas902      5.20           
Pavarde903     Vardas903      5.24           
Pavarde904     Vardas904      6.72           
Pavarde907     Vardas907      7.44           
Pavarde909     Vardas909      6.96           
Pavarde911     Vardas911      6.32           
Pavarde912     Vardas912      6.32           
Pavarde916     Vardas916      5.32           
Pavarde917     Vardas917      5.64           
Pavarde919     Vardas919      6.28           
Pavarde920     Vardas920      7.76           
Pavarde922     Vardas922      5.12           
Pavarde923     Vardas923      7.76           
Pavarde924     Vardas924      7.20           
Pavarde926     Vardas926      8.64           
Pavarde927     Vardas927      8.40           
Pavarde929     Vardas929      6.84           
Pavarde932     Vardas932      5.44           
Pavarde934     Vardas934      6.88           
Pavarde935     Vardas935      5.56           
Pavarde936     Vardas936      7.88           
Pavarde937     Vardas937      6.92           
Pavarde939     Vardas939      7.36           
Pavarde940     Vardas940      5.04           
Pavarde942     Vardas942      7.96           
Pavarde943     Vardas943      7.08           
Pavarde945     Vardas945      5.48           
Pavarde947     Vardas947      6.96           
Pavarde948     Vardas948      6.24           
Pavarde951     Vardas951      5.24           
Pavarde954     Vardas954      7.08           
Pavarde955     Vardas955      8.24           
Pavarde956     Vardas956      8.72           
Pavarde957     Vardas957      7.80           
Pavarde958     Vardas958      7.00           
Pavarde960     Vardas960      5.08           
Pavarde961     Vardas961      8.20           
Pavarde962     Vardas962      8.04           
Pavarde964     Vardas964      5.24           
Pavarde970     Vardas970      6.36           
Pavarde971     Vardas971      7.52           
Pavarde973     Vardas973      6.52           
Pavarde975     Vardas975      7.72           
Pavarde977     Vardas977      6.60           
Pavarde978     Vardas978      8.56           
Pavarde985     Vardas985      8.00           
Pavarde986     Vardas986      5.92           
Pavarde987     Vardas987      8.40           
Pavarde989     Vardas989      5.52           
Pavarde991     Vardas991      5.48           
Pavarde992     Vardas992      6.72           
Pavarde993     Vardas993      6.52           
Pavarde994     Vardas994      7.68           
Pavarde995     Vardas995      7.52           
Pavarde996     Vardas996      5.20           
Pavarde998     Vardas998      8.80           
Pavarde1000    Vardas1000     7.92           
Pavarde1001    Vardas1001     9.20           
Pavarde1002    Vardas1002     5.72           
Pavarde1003    Vardas1003     7.36           
Pavarde1005    Vardas1005     7.28           
Pavarde1006    Vardas1006     5.08           
Pavarde1008    Vardas1008     6.60           
Pavarde1011    Vardas1011     5.80           
Pavarde1014    Vardas1014     7.88           
Pavarde1015    Vardas1015     7.72           
Pavarde1017    Vardas1017     7.56           
Pavarde1018    Vardas1018     6.04           
Pavarde1019    Vardas1019     6.84           
Pavarde1022    Vardas1022     8.32           
Pavarde1023    Vardas1023     6.64           
Pavarde1025    Vardas1025     7.04           
Pavarde1026    Vardas1026     8.04           
Pavarde1027    Vardas1027     6.64           
Pavarde1031    Vardas1031     5.56           
Pavarde1032    Vardas1032     8.32           
Pavarde1033    Vardas1033     7.24           
Pavarde1034    Vardas1034     6.20           
Pavarde1036    Vardas1036     8.52           
Pavarde1044    Vardas1044     6.12           
Pavarde1046    Vardas1046     8.36           
Pavarde1047    Vardas1047     7.76           
Pavarde1048    Vardas1048     7.32           
Pavarde1051    Vardas1051     5.56           
Pavarde1052    Vardas1052     7.08           
Pavarde1053    Vardas1053     7.76           
Pavarde1054    Vardas1054     6.28           
Pavarde1056    Vardas1056     5.40           
Pavarde1060    Vardas1060     5.80           
Pavarde1061    Vardas1061     6.40           
Pavarde1062    Vardas1062     5.40           
Pavarde1072    Vardas1072     6.08           
Pavarde1074    Vardas1074     5.08           
Pavarde1077    Vardas1077     7.32           
Pavarde1079    Vardas1079     5.40           
Pavarde1080    Vardas1080     6.48           
Pavarde1081    Vardas1081     5.00           
Pavarde1082    Vardas1082     5.92           
Pavarde1083    Vardas1083     6.72           
Pavarde1086    Vardas1086     7.60           
Pavarde1087    Vardas1087     5.64           
Pavarde1093    Vardas1093     7.12           
Pavarde1095    Vardas1095     8.44           
Pavarde1096    Vardas1096     7.56           
Pavarde1098    Vardas1098     7.52           
Pavarde1099    Vardas1099     5.96           
Pavarde1100    Vardas1100     8.96           
Pavarde1102    Vardas1102     5.60           
Pavarde1103    Vardas1103     6.72           
Pavarde1104    Vardas1104     6.04           
Pavarde1105    Vardas1105     5.12           
Pavarde1108    Vardas1108     5.08           
Pavarde1109    Vardas1109     5.08           
Pavarde1110    Vardas1110     5.12           
Pavarde1114    Vardas1114     8.72           
Pavarde1115    Vardas1115     9.20           
Pavarde1117    Vardas1117     5.60           
Pavarde1118    Vardas1118     7.92           
Pavarde1120    Vardas1120     8.16           
Pavarde1121    Vardas1121     8.68           
Pavarde1122    Vardas1122     6.28           
Pavarde1126    Vardas1126     8.24           
Pavarde1127    Vardas1127     5.52           
Pavarde1128    Vardas1128     8.64           
Pavarde1129    Vardas1129     8.48           
Pavarde1131    Vardas1131     8.24           
Pavarde1132    Vardas1132     6.92           
Pavarde1133    Vardas1133     5.60           
Pavarde1135    Vardas1135     8.00           
Pavarde1136    Vardas1136     5.20           
Pavarde1137    Vardas1137     5.08           
Pavarde1138    Vardas1138     7.44           
Pavarde1142    Vardas1142     8.52           
Pavarde1144    Vardas1144     5.16           
Pavarde1145    Vardas1145     6.20           
Pavarde1146    Vardas1146     7.84           
Pavarde1147    Vardas1147     7.80           
Pavarde1150    Vardas1150     7.64           
Pavarde1151    Vardas1151     5.80           
Pavarde1152    Vardas1152     8.72           
Pavarde1154    Vardas1154     6.32           
Pavarde1155    Vardas1155     8.04           
Pavarde1156    Vardas1156     5.96           
Pavarde1157    Vardas1157     7.28           
Pavarde1162    Vardas1162     7.72           
Pavarde1164    Vardas1164     8.20           
Pavarde1165    Vardas1165     7.08           
Pavarde1166    Vardas1166     5.12           
Pavarde1170    Vardas1170     6.76           
Pavarde1171    Vardas1171     7.68           
Pavarde1172    Vardas1172     6.72           
Pavarde1174    Vardas1174     5.76           
Pavarde1176    Vardas1176     6.80           
Pavarde1177    Vardas1177     7.32           
Pavarde1178    Vardas1178     6.00           
Pavarde1180    Vardas1180     7.32           
Pavarde1182    Vardas1182     8.16           
Pavarde1185    Vardas1185     5.04           
Pavarde1186    Vardas1186     7.00           
Pavarde1187    Vardas1187     7.64           
Pavarde1188    Vardas1188     7.08           
Pavarde1189    Vardas1189     7.00           
Pavarde1190    Vardas1190     5.64           
Pavarde1191    Vardas1191     8.04           
Pavarde1194    Vardas1194     6.68           
Pavarde1195    Vardas1195     7.24           
Pavarde1196    Vardas1196     6.84           
Pavarde1199    Vardas1199     7.36           
Pavarde1200    Vardas1200     6.16           
Pavarde1202    Vardas1202     5.40           
Pavarde1203    Vardas1203     6.60           
Pavarde1205    Vardas1205     9.04           
Pavarde1210    Vardas1210     5.92           
Pavarde1211    Vardas1211     5.76           
Pavarde1213    Vardas1213     5.76           
Pavarde1214    Vardas1214     7.88           
Pavarde1215    Vardas1215     5.72           
Pavarde1217    Vardas1217     6.20           
Pavarde1219    Vardas1219     8.48           
Pavarde1220    Vardas1220     7.80           
Pavarde1221    Vardas1221     6.68           
Pavarde1222    Vardas1222     7.52           
Pavarde1223    Vardas1223     6.60           
Pavarde1224    Vardas1224     5.04           
Pavarde1225    Vardas1225     6.84           
Pavarde1226    Vardas1226     7.76           
Pavarde1227    Vardas1227     7.92           
Pavarde1229    Vardas1229     7.48           
Pavarde1230    Vardas1230     7.16           
Pavarde1232    Vardas1232     5.44           
Pavarde1233    Vardas1233     6.32           
Pavarde1234    Vardas1234     7.00           
Pavarde1236    Vardas1236     5.12           
Pavarde1237    Vardas1237     8.24           
Pavarde1238    Vardas1238     5.60           
Pavarde1239    Vardas1239     7.68           
Pavarde1240    Vardas1240     7.80           
Pavarde1241    Vardas1241     5.24           
Pavarde1242    Vardas1242     6.84           
Pavarde1247    Vardas1247     6.40           
Pavarde1248    Vardas1248     7.72           
Pavarde1249    Vardas1249     5.12           
Pavarde1250    Vardas1250     6.12           
Pavarde1251    Vardas1251     6.72           
Pavarde1253    Vardas1253     6.72           
Pavarde1255    Vardas1255     7.84           
Pavarde1256    Vardas1256     6.08           
Pavarde1257    Vardas1257     7.76           
Pavarde1258    Vardas1258     5.56           
Pavarde1263    Vardas1263     6.12           
Pavarde1264    Vardas1264     6.40           
Pavarde1265    Vardas1265     8.24           
Pavarde1268    Vardas1268     6.56           
Pavarde1269    Vardas1269     5.60           
Pavarde1270    Vardas1270     5.08           
Pavarde1274    Vardas1274     7.56           
Pavarde1277    Vardas1277     8.88           
Pavarde1278    Vardas1278     7.04           
Pavarde1280    Vardas1280     6.76           
Pavarde1282    Vardas1282     6.04           
Pavarde1287    Vardas1287     7.16           
Pavarde1289    Vardas1289     5.36           
Pavarde1291    Vardas1291     7.76           
Pavarde1292    Vardas1292     6.36           
Pavarde1293    Vardas1293     7.40           
Pavarde1294    Vardas1294     6.32           
Pavarde1298    Vardas1298     6.68           
Pavarde1300    Vardas1300     6.48           
Pavarde1301    Vardas1301     6.76           
Pavarde1302    Vardas1302     5.92           
Pavarde1304    Vardas1304     6.24           
Pavarde1306    Vardas1306     7.48           
Pavarde1307    Vardas1307     5.64           
Pavarde1312    Vardas1312     6.60           
Pavarde1314    Vardas1314     7.60           
Pavarde1315    Vardas1315     7.76           
Pavarde1316    Vardas1316     5.08           
Pavarde1318    Vardas1318     7.96           
Pavarde1319    Vardas1319     6.20           
Pavarde1320    Vardas1320     8.28           
Pavarde1321    Vardas1321     5.36           
Pavarde1323    Vardas1323     5.96           
Pavarde1324    Vardas1324     8.24           
Pavarde1326    Vardas1326     5.64           
Pavarde1327    Vardas1327     8.64           
Pavarde1328    Vardas1328     8.72           
Pavarde1329    Vardas1329     6.16           
Pavarde1330    Vardas1330     6.96           
Pavarde1331    Vardas1331     5.76           
Pavarde1332    Vardas1332     5.60           
Pavarde1335    Vardas1335     6.88           
Pavarde1336    Vardas1336     7.72           
Pavarde1337    Vardas1337     7.72           
Pavarde1338    Vardas1338     6.68           
Pavarde1339    Vardas1339     6.52           
Pavarde1341    Vardas1341     6.76           
Pavarde1345    Vardas1345     8.08           
Pavarde1346    Vardas1346     7.68           
Pavarde1347    Vardas1347     8.64           
Pavarde1350    Vardas1350     7.04           
Pavarde1353    Vardas1353     7.88           
