Pavarde        Vardas         Galutinis      
Pavarde276     Vardas276      3.60           
Pavarde277     Vardas277      4.96           
Pavarde279     Vardas279      3.60           
Pavarde280     Vardas280      3.52           
Pavarde282     Vardas282      3.92           
Pavarde283     Vardas283      2.60           
Pavarde284     Vardas284      4.76           
Pavarde286     Vardas286      2.72           
Pavarde289     Vardas289      4.04           
Pavarde291     Vardas291      2.84           
Pavarde293     Vardas293      4.56           
Pavarde295     Vardas295      4.76           
Pavarde296     Vardas296      2.76           
Pavarde300     Vardas300      2.84           
Pavarde301     Vardas301      4.60           
Pavarde305     Vardas305      4.76           
Pavarde308     Vardas308      2.60           
Pavarde310     Vardas310      3.56           
Pavarde311     Vardas311      1.96           
Pavarde316     Vardas316      4.32           
Pavarde317     Vardas317      4.36           
Pavarde318     Vardas318      2.56           
Pavarde321     Vardas321      4.76           
Pavarde322     Vardas322      4.60           
Pavarde323     Vardas323      4.68           
Pavarde324     Vardas324      4.36           
Pavarde327     Vardas327      4.48           
Pavarde332     Vardas332      4.68           
Pavarde333     Vardas333      2.92           
Pavarde334     Vardas334      4.32           
Pavarde335     Vardas335      4.52           
Pavarde338     Vardas338      3.44           
Pavarde342     Vardas342      2.52           
Pavarde346     Vardas346      3.36           
Pavarde349     Vardas349      3.56           
Pavarde355     Vardas355      4.04           
Pavarde362     Vardas362      3.76           
Pavarde364     Vardas364      4.08           
Pavarde365     Vardas365      2.72           
Pavarde366     Vardas366      4.96           
Pavarde367     Vardas367      4.60           
Pavarde368     Vardas368      4.76           
Pavarde370     Vardas370      4.88           
Pavarde371     Vardas371      4.92           
Pavarde372     Vardas372      4.20           
Pavarde373     Vardas373      4.48           
Pavarde374     Vardas374      3.40           
Pavarde375     Vardas375      3.64           
Pavarde377     Vardas377      4.28           
Pavarde380     Vardas380      4.44           
Pavarde384     Vardas384      4.84           
Pavarde385     Vardas385      2.92           
Pavarde386     Vardas386      3.72           
Pavarde387     Vardas387      4.00           
Pavarde388     Vardas388      4.96           
Pavarde389     Vardas389      4.92           
Pavarde390     Vardas390      4.92           
Pavarde393     Vardas393      4.96           
Pavarde396     Vardas396      3.80           
Pavarde400     Vardas400      3.80           
Pavarde402     Vardas402      3.08           
Pavarde405     Vardas405      3.52           
Pavarde410     Vardas410      3.28           
Pavarde413     Vardas413      3.52           
Pavarde417     Vardas417      2.96           
Pavarde421     Vardas421      3.40           
Pavarde423     Vardas423      2.28           
Pavarde424     Vardas424      2.76           
Pavarde425     Vardas425      4.64           
Pavarde429     Vardas429      3.68           
Pavarde430     Vardas430      2.48           
Pavarde432     Vardas432      2.68           
Pavarde433     Vardas433      2.36           
Pavarde436     Vardas436      2.96           
Pavarde437     Vardas437      3.08           
Pavarde439     Vardas439      2.68           
Pavarde442     Vardas442      3.60           
Pavarde443     Vardas443      4.36           
Pavarde444     Vardas444      2.64           
Pavarde446     Vardas446      2.28           
Pavarde447     Vardas447      3.44           
Pavarde449     Vardas449      3.68           
Pavarde451     Vardas451      3.52           
Pavarde455     Vardas455      3.68           
Pavarde456     Vardas456      3.00           
Pavarde463     Vardas463      4.80           
Pavarde465     Vardas465      2.44           
Pavarde467     Vardas467      4.00           
Pavarde471     Vardas471      3.00           
Pavarde472     Vardas472      2.20           
Pavarde476     Vardas476      4.28           
Pavarde477     Vardas477      3.04           
Pavarde478     Vardas478      3.68           
Pavarde482     Vardas482      2.76           
Pavarde483     Vardas483      4.72           
Pavarde484     Vardas484      2.36           
Pavarde485     Vardas485      4.12           
Pavarde487     Vardas487      2.60           
Pavarde492     Vardas492      3.68           
Pavarde495     Vardas495      3.72           
Pavarde496     Vardas496      3.96           
Pavarde503     Vardas503      4.24           
Pavarde504     Vardas504      2.60           
Pavarde505     Vardas505      3.44           
Pavarde506     Vardas506      4.04           
Pavarde507     Vardas507      4.88           
Pavarde509     Vardas509      4.92           
Pavarde511     Vardas511      2.48           
Pavarde512     Vardas512      2.36           
Pavarde516     Vardas516      4.12           
Pavarde517     Vardas517      4.12           
Pavarde518     Vardas518      4.96           
Pavarde519     Vardas519      3.60           
Pavarde520     Vardas520      3.76           
Pavarde523     Vardas523      3.68           
Pavarde524     Vardas524      4.00           
Pavarde525     Vardas525      4.48           
Pavarde528     Vardas528      4.64           
Pavarde533     Vardas533      4.84           
Pavarde534     Vardas534      2.84           
Pavarde535     Vardas535      2.80           
Pavarde539     Vardas539      3.56           
Pavarde540     Vardas540      3.08           
Pavarde543     Vardas543      3.40           
Pavarde545     Vardas545      4.08           
Pavarde548     Vardas548      3.40           
Pavarde551     Vardas551      3.08           
Pavarde552     Vardas552      4.28           
Pavarde554     Vardas554      3.92           
Pavarde557     Vardas557      3.92           
Pavarde560     Vardas560      4.60           
Pavarde562     Vardas562      4.48           
Pavarde564     Vardas564      1.72           
Pavarde568     Vardas568      4.52           
Pavarde569     Vardas569      3.20           
Pavarde570     Vardas570      3.92           
Pavarde572     Vardas572      2.88           
Pavarde573     Vardas573      4.60           
Pavarde575     Vardas575      4.28           
Pavarde580     Vardas580      3.24           
Pavarde583     Vardas583      1.88           
Pavarde585     Vardas585      3.08           
Pavarde588     Vardas588      4.64           
Pavarde591     Vardas591      4.52           
Pavarde592     Vardas592      2.04           
Pavarde593     Vardas593      4.28           
Pavarde596     Vardas596      3.60           
Pavarde597     Vardas597      3.16           
Pavarde599     Vardas599      2.52           
Pavarde600     Vardas600      4.92           
Pavarde601     Vardas601      3.16           
Pavarde602     Vardas602      3.12           
Pavarde606     Vardas606      3.16           
Pavarde607     Vardas607      2.52           
Pavarde609     Vardas609      2.76           
Pavarde610     Vardas610      4.56           
Pavarde612     Vardas612      2.52           
Pavarde613     Vardas613      4.16           
Pavarde614     Vardas614      3.36           
Pavarde615     Vardas615      3.92           
Pavarde616     Vardas616      2.92           
Pavarde619     Vardas619      4.16           
Pavarde624     Vardas624      4.52           
Pavarde626     Vardas626      4.52           
Pavarde627     Vardas627      1.48           
Pavarde628     Vardas628      4.96           
Pavarde630     Vardas630      3.28           
Pavarde634     Vardas634      3.24           
Pavarde635     Vardas635      3.36           
Pavarde637     Vardas637      3.84           
Pavarde638     Vardas638      2.60           
Pavarde642     Vardas642      4.68           
Pavarde644     Vardas644      3.76           
Pavarde645     Vardas645      4.00           
Pavarde648     Vardas648      2.28           
Pavarde649     Vardas649      4.84           
Pavarde650     Vardas650      3.40           
Pavarde652     Vardas652      3.96           
Pavarde653     Vardas653      3.64           
Pavarde656     Vardas656      4.84           
Pavarde658     Vardas658      3.24           
Pavarde659     Vardas659      4.84           
Pavarde662     Vardas662      3.56           
Pavarde665     Vardas665      3.16           
Pavarde666     Vardas666      3.48           
Pavarde669     Vardas669      3.56           
Pavarde671     Vardas671      2.04           
Pavarde675     Vardas675      4.32           
Pavarde682     Vardas682      2.52           
Pavarde687     Vardas687      4.48           
Pavarde688     Vardas688      2.92           
Pavarde689     Vardas689      3.64           
Pavarde690     Vardas690      4.56           
Pavarde692     Vardas692      3.72           
Pavarde693     Vardas693      3.96           
Pavarde696     Vardas696      3.56           
Pavarde697     Vardas697      3.12           
Pavarde699     Vardas699      2.84           
Pavarde702     Vardas702      4.68           
Pavarde704     Vardas704      2.44           
Pavarde705     Vardas705      4.44           
Pavarde707     Vardas707      3.40           
Pavarde708     Vardas708      4.60           
Pavarde709     Vardas709      3.56           
Pavarde710     Vardas710      4.76           
Pavarde711     Vardas711      3.28           
Pavarde713     Vardas713      3.08           
Pavarde714     Vardas714      4.52           
Pavarde715     Vardas715      3.16           
Pavarde716     Vardas716      4.60           
Pavarde717     Vardas717      3.68           
Pavarde719     Vardas719      4.68           
Pavarde721     Vardas721      2.56           
Pavarde722     Vardas722      3.40           
Pavarde723     Vardas723      3.00           
Pavarde725     Vardas725      3.96           
Pavarde727     Vardas727      4.88           
Pavarde731     Vardas731      3.04           
Pavarde733     Vardas733      3.12           
Pavarde737     Vardas737      4.60           
Pavarde738     Vardas738      4.00           
Pavarde739     Vardas739      3.64           
Pavarde741     Vardas741      3.32           
Pavarde742     Vardas742      3.00           
Pavarde743     Vardas743      4.00           
Pavarde749     Vardas749      2.28           
Pavarde750     Vardas750      3.24           
Pavarde753     Vardas753      2.84           
Pavarde754     Vardas754      2.20           
Pavarde755     Vardas755      4.96           
Pavarde758     Vardas758      3.60           
Pavarde759     Vardas759      4.00           
Pavarde762     Vardas762      2.92           
Pavarde763     Vardas763      3.00           
Pavarde765     Vardas765      4.72           
Pavarde769     Vardas769      4.80           
Pavarde771     Vardas771      2.20           
Pavarde774     Vardas774      2.68           
Pavarde778     Vardas778      2.28           
Pavarde779     Vardas779      4.80           
Pavarde780     Vardas780      2.80           
Pavarde781     Vardas781      4.32           
Pavarde782     Vardas782      2.72           
Pavarde784     Vardas784      3.80           
Pavarde789     Vardas789      3.64           
Pavarde790     Vardas790      4.44           
Pavarde791     Vardas791      3.32           
Pavarde796     Vardas796      2.92           
Pavarde800     Vardas800      3.08           
Pavarde802     Vardas802      4.16           
Pavarde803     Vardas803      4.52           
Pavarde809     Vardas809      2.80           
Pavarde812     Vardas812      4.24           
Pavarde814     Vardas814      4.32           
Pavarde815     Vardas815      3.88           
Pavarde816     Vardas816      4.24           
Pavarde821     Vardas821      4.60           
Pavarde822     Vardas822      3.04           
Pavarde827     Vardas827      4.36           
Pavarde828     Vardas828      3.48           
Pavarde831     Vardas831      2.92           
Pavarde832     Vardas832      3.72           
Pavarde833     Vardas833      3.20           
Pavarde835     Vardas835      2.68           
Pavarde836     Vardas836      4.16           
Pavarde840     Vardas840      2.68           
Pavarde843     Vardas843      2.68           
Pavarde844     Vardas844      2.92           
Pavarde845     Vardas845      4.60           
Pavarde846     Vardas846      4.44           
Pavarde847     Vardas847      2.68           
Pavarde850     Vardas850      4.32           
Pavarde853     Vardas853      3.20           
Pavarde857     Vardas857      2.96           
Pavarde858     Vardas858      4.16           
Pavarde860     Vardas860      3.60           
Pavarde861     Vardas861      3.16           
Pavarde865     Vardas865      3.32           
Pavarde866     Vardas866      3.36           
Pavarde869     Vardas869      3.88           
Pavarde876     Vardas876      4.00           
Pavarde877     Vardas877      4.48           
Pavarde879     Vardas879      4.44           
Pavarde881     Vardas881      4.40           
Pavarde882     Vardas882      4.56           
Pavarde883     Vardas883      2.36           
Pavarde888     Vardas888      4.20           
Pavarde889     Vardas889      4.28           
Pavarde892     Vardas892      4.40           
Pavarde894     Vardas894      3.68           
Pavarde895     Vardas895      4.08           
Pavarde897     Vardas897      4.96           
Pavarde898     Vardas898      4.80           
Pavarde900     Vardas900      4.88           
Pavarde905     Vardas905      3.56           
Pavarde906     Vardas906      3.72           
Pavarde908     Vardas908      3.16           
Pavarde910     Vardas910      4.28           
Pavarde913     Vardas913      3.20           
Pavarde914     Vardas914      3.68           
Pavarde915     Vardas915      2.68           
Pavarde918     Vardas918      3.44           
Pavarde921     Vardas921      3.16           
Pavarde925     Vardas925      3.12           
Pavarde928     Vardas928      3.68           
Pavarde930     Vardas930      3.56           
Pavarde931     Vardas931      2.76           
Pavarde933     Vardas933      4.44           
Pavarde938     Vardas938      4.36           
Pavarde941     Vardas941      3.44           
Pavarde944     Vardas944      2.28           
Pavarde946     Vardas946      3.04           
Pavarde949     Vardas949      3.44           
Pavarde950     Vardas950      3.76           
Pavarde952     Vardas952      4.52           
Pavarde953     Vardas953      4.12           
Pavarde959     Vardas959      3.40           
Pavarde963     Vardas963      2.44           
Pavarde965     Vardas965      4.32           
Pavarde966     Vardas966      3.96           
Pavarde967     Vardas967      4.32           
Pavarde968     Vardas968      3.08           
Pavarde969     Vardas969      3.80           
Pavarde972     Vardas972      4.00           
Pavarde974     Vardas974      4.64           
Pavarde976     Vardas976      4.76           
Pavarde979     Vardas979      3.60           
Pavarde980     Vardas980      2.20           
Pavarde981     Vardas981      3.96           
Pavarde982     Vardas982      4.36           
Pavarde983     Vardas983      4.52           
Pavarde984     Vardas984      3.84           
Pavarde988     Vardas988      3.28           
Pavarde990     Vardas990      2.96           
Pavarde997     Vardas997      4.80           
Pavarde999     Vardas999      3.04           
Pavarde1004    Vardas1004     2.92           
Pavarde1007    Vardas1007     3.88           
Pavarde1009    Vardas1009     4.72           
Pavarde1010    Vardas1010     4.12           
Pavarde1012    Vardas1012     3.80           
Pavarde1013    Vardas1013     2.24           
Pavarde1016    Vardas1016     2.60           
Pavarde1020    Vardas1020     3.08           
Pavarde1021    Vardas1021     2.96           
Pavarde1024    Vardas1024     4.52           
Pavarde1028    Vardas1028     3.12           
Pavarde1029    Vardas1029     4.32           
Pavarde1030    Vardas1030     2.96           
Pavarde1035    Vardas1035     2.84           
Pavarde1037    Vardas1037     3.96           
Pavarde1038    Vardas1038     4.04           
Pavarde1039    Vardas1039     3.84           
Pavarde1040    Vardas1040     3.20           
Pavarde1041    Vardas1041     4.96           
Pavarde1042    Vardas1042     3.08           
Pavarde1043    Vardas1043     4.48           
Pavarde1045    Vardas1045     3.60           
Pavarde1049    Vardas1049     3.16           
Pavarde1050    Vardas1050     4.60           
Pavarde1055    Vardas1055     4.28           
Pavarde1057    Vardas1057     3.00           
Pavarde1058    Vardas1058     4.72           
Pavarde1059    Vardas1059     4.32           
Pavarde1063    Vardas1063     4.56           
Pavarde1064    Vardas1064     3.32           
Pavarde1065    Vardas1065     4.00           
Pavarde1066    Vardas1066     3.72           
Pavarde1067    Vardas1067     4.20           
Pavarde1068    Vardas1068     4.28           
Pavarde1069    Vardas1069     3.88           
Pavarde1070    Vardas1070     4.32           
Pavarde1071    Vardas1071     4.92           
Pavarde1073    Vardas1073     3.32           
Pavarde1075    Vardas1075     4.48           
Pavarde1076    Vardas1076     2.04           
Pavarde1078    Vardas1078     3.40           
Pavarde1084    Vardas1084     4.84           
Pavarde1085    Vardas1085     4.84           
Pavarde1088    Vardas1088     3.68           
Pavarde1089    Vardas1089     1.72           
Pavarde1090    Vardas1090     4.16           
Pavarde1091    Vardas1091     4.00           
Pavarde1092    Vardas1092     3.24           
Pavarde1094    Vardas1094     4.80           
Pavarde1097    Vardas1097     4.08           
Pavarde1101    Vardas1101     3.44           
Pavarde1106    Vardas1106     4.12           
Pavarde1107    Vardas1107     3.56           
Pavarde1111    Vardas1111     3.76           
Pavarde1112    Vardas1112     4.40           
Pavarde1113    Vardas1113     3.96           
Pavarde1116    Vardas1116     4.00           
Pavarde1119    Vardas1119     3.64           
Pavarde1123    Vardas1123     4.00           
Pavarde1124    Vardas1124     2.60           
Pavarde1125    Vardas1125     3.88           
Pavarde1130    Vardas1130     2.44           
Pavarde1134    Vardas1134     4.32           
Pavarde1139    Vardas1139     3.24           
Pavarde1140    Vardas1140     3.04           
Pavarde1141    Vardas1141     2.96           
Pavarde1143    Vardas1143     3.72           
Pavarde1148    Vardas1148     4.96           
Pavarde1149    Vardas1149     4.96           
Pavarde1153    Vardas1153     3.88           
Pavarde1158    Vardas1158     2.36           
Pavarde1159    Vardas1159     4.32           
Pavarde1160    Vardas1160     3.68           
Pavarde1161    Vardas1161     3.36           
Pavarde1163    Vardas1163     4.44           
Pavarde1167    Vardas1167     4.44           
Pavarde1168    Vardas1168     4.04           
Pavarde1169    Vardas1169     3.16           
Pavarde1173    Vardas1173     4.44           
Pavarde1175    Vardas1175     2.76           
Pavarde1179    Vardas1179     3.64           
Pavarde1181    Vardas1181     4.20           
Pavarde1183    Vardas1183     3.80           
Pavarde1184    Vardas1184     4.64           
Pavarde1192    Vardas1192     4.00           
Pavarde1193    Vardas1193     4.72           
Pavarde1197    Vardas1197     3.68           
Pavarde1198    Vardas1198     4.40           
Pavarde1201    Vardas1201     3.00           
Pavarde1204    Vardas1204     3.76           
Pavarde1206    Vardas1206     2.36           
Pavarde1207    Vardas1207     3.68           
Pavarde1208    Vardas1208     4.28           
Pavarde1209    Vardas1209     2.36           
Pavarde1212    Vardas1212     4.36           
Pavarde1216    Vardas1216     3.96           
Pavarde1218    Vardas1218     3.44           
Pavarde1228    Vardas1228     3.96           
Pavarde1231    Vardas1231     4.52           
Pavarde1235    Vardas1235     2.84           
Pavarde1243    Vardas1243     4.96           
Pavarde1244    Vardas1244     4.20           
Pavarde1245    Vardas1245     3.80           
Pavarde1246    Vardas1246     4.32           
Pavarde1252    Vardas1252     3.64           
Pavarde1254    Vardas1254     3.92           
Pavarde1259    Vardas1259     2.20           
Pavarde1260    Vardas1260     2.48           
Pavarde1261    Vardas1261     4.00           
Pavarde1262    Vardas1262     4.68           
Pavarde1266    Vardas1266     3.96           
Pavarde1267    Vardas1267     2.76           
Pavarde1271    Vardas1271     2.76           
Pavarde1272    Vardas1272     1.72           
Pavarde1273    Vardas1273     4.60           
Pavarde1275    Vardas1275     3.20           
Pavarde1276    Vardas1276     2.80           
Pavarde1279    Vardas1279     3.60           
Pavarde1281    Vardas1281     4.52           
Pavarde1283    Vardas1283     2.44           
Pavarde1284    Vardas1284     3.00           
Pavarde1285    Vardas1285     4.76           
Pavarde1286    Vardas1286     3.68           
Pavarde1288    Vardas1288     4.12           
Pavarde1290    Vardas1290     2.52           
Pavarde1295    Vardas1295     2.52           
Pavarde1296    Vardas1296     4.04           
Pavarde1297    Vardas1297     3.88           
Pavarde1299    Vardas1299     2.28           
Pavarde1303    Vardas1303     3.52           
Pavarde1305    Vardas1305     4.92           
Pavarde1308    Vardas1308     2.36           
Pavarde1309    Vardas1309     3.36           
Pavarde1310    Vardas1310     4.68           
Pavarde1311    Vardas1311     3.08           
Pavarde1313    Vardas1313     3.08           
Pavarde1317    Vardas1317     3.16           
Pavarde1322    Vardas1322     3.60           
Pavarde1325    Vardas1325     2.60           
Pavarde1333    Vardas1333     3.40           
Pavarde1334    Vardas1334     3.64           
Pavarde1340    Vardas1340     4.60           
Pavarde1342    Vardas1342     4.64           
Pavarde1343    Vardas1343     4.52           
Pavarde1344    Vardas1344     4.40           
Pavarde1348    Vardas1348     4.00           
Pavarde1349    Vardas1349     2.04           
Pavarde1351    Vardas1351     3.88           
Pavarde1352    Vardas1352     3.12           
Pavarde1354    Vardas1354     2.20           
Pavarde1357    Vardas1357     4.00           
Pavarde1358    Vardas1358     3.72           
Pavarde1361    Vardas1361     3.00           
Pavarde1363    Vardas1363     2.44           
Pavarde1366    Vardas1366     4.32           
Pavarde1368    Vardas1368     4.84           
Pavarde1369    Vardas1369     2.12           
Pavarde1373    Vardas1373     4.76           
Pavarde1374    Vardas1374     4.96           
Pavarde1376    Vardas1376     4.16           
Pavarde1377    Vardas1377     4.48           
Pavarde1380    Vardas1380     4.24           
Pavarde1388    Vardas1388     4.68           
Pavarde1394    Vardas1394     4.20           
Pavarde1395    Vardas1395     3.52           
Pavarde1399    Vardas1399     4.76           
Pavarde1400    Vardas1400     2.12           
Pavarde1401    Vardas1401     3.08           
Pavarde1406    Vardas1406     3.40           
Pavarde1407    Vardas1407     4.92           
Pavarde1408    Vardas1408     3.16           
Pavarde1410    Vardas1410     3.36           
Pavarde1411    Vardas1411     3.84           
Pavarde1413    Vardas1413     3.16           
Pavarde1421    Vardas1421     4.92           
Pavarde1422    Vardas1422     4.68           
Pavarde1423    Vardas1423     2.52           
Pavarde1425    Vardas1425     2.76           
Pavarde1427    Vardas1427     4.52           
Pavarde1428    Vardas1428     3.56           
Pavarde1432    Vardas1432     4.60           
Pavarde1433    Vardas1433     4.64           
Pavarde1434    Vardas1434     4.76           
Pavarde1436    Vardas1436     4.16           
Pavarde1438    Vardas1438     4.92           
Pavarde1440    Vardas1440     4.60           
Pavarde1441    Vardas1441     4.68           
Pavarde1443    Vardas1443     3.88           
Pavarde1444    Vardas1444     3.00           
Pavarde1446    Vardas1446     2.84           
Pavarde1452    Vardas1452     3.28           
Pavarde1454    Vardas1454     4.40           
Pavarde1458    Vardas1458     4.56           
Pavarde1461    Vardas1461     3.84           
Pavarde1463    Vardas1463     2.84           
Pavarde1465    Vardas1465     3.36           
Pavarde1466    Vardas1466     4.16           
Pavarde1467    Vardas1467     4.80           
Pavarde1468    Vardas1468     1.80           
Pavarde1469    Vardas1469     2.88           
Pavarde1472    Vardas1472     3.76           
Pavarde1473    Vardas1473     1.96           
Pavarde1476    Vardas1476     3.60           
Pavarde1477    Vardas1477     3.48           
Pavarde1480    Vardas1480     3.96           
Pavarde1488    Vardas1488     4.44           
Pavarde1492    Vardas1492     4.16           
Pavarde1493    Vardas1493     2.92           
Pavarde1496    Vardas1496     4.40           
Pavarde1502    Vardas1502     3.68           
Pavarde1504    Vardas1504     4.56           
Pavarde1506    Vardas1506     1.96           
Pavarde1508    Vardas1508     2.28           
Pavarde1509    Vardas1509     2.36           
Pavarde1511    Vardas1511     4.52           
Pavarde1514    Vardas1514     3.36           
Pavarde1518    Vardas1518     4.08           
Pavarde1522    Vardas1522     2.36           
Pavarde1525    Vardas1525     3.08           
Pavarde1526    Vardas1526     3.80           
Pavarde1528    Vardas1528     3.44           
Pavarde1530    Vardas1530     4.88           
Pavarde1531    Vardas1531     4.40           
Pavarde1532    Vardas1532     4.00           
Pavarde1534    Vardas1534     4.68           
Pavarde1535    Vardas1535     3.76           
Pavarde1538    Vardas1538     3.40           
Pavarde1539    Vardas1539     4.24           
Pavarde1540    Vardas1540     3.72           
Pavarde1543    Vardas1543     4.48           
Pavarde1545    Vardas1545     3.68           
Pavarde1551    Vardas1551     2.88           
Pavarde1552    Vardas1552     3.80           
Pavarde1553    Vardas1553     3.84           
Pavarde1554    Vardas1554     2.96           
Pavarde1557    Vardas1557     2.60           
Pavarde1558    Vardas1558     3.76           
Pavarde1559    Vardas1559     3.40           
Pavarde1562    Vardas1562     4.88           
Pavarde1566    Vardas1566     4.80           
Pavarde1572    Vardas1572     2.80           
Pavarde1575    Vardas1575     4.80           
Pavarde1578    Vardas1578     4.04           
Pavarde1579    Vardas1579     3.48           
Pavarde1580    Vardas1580     3.28           
Pavarde1581    Vardas1581     4.76           
Pavarde1583    Vardas1583     3.68           
Pavarde1586    Vardas1586     4.60           
Pavarde1589    Vardas1589     3.60           
Pavarde1591    Vardas1591     3.88           
Pavarde1596    Vardas1596     4.24           
Pavarde1597    Vardas1597     4.96           
Pavarde1600    Vardas1600     3.56           
Pavarde1601    Vardas1601     4.12           
Pavarde1604    Vardas1604     3.04           
Pavarde1605    Vardas1605     2.80           
Pavarde1606    Vardas1606     4.88           
Pavarde1609    Vardas1609     2.12           
Pavarde1610    Vardas1610     2.80           
Pavarde1613    Vardas1613     3.12           
Pavarde1614    Vardas1614     4.40           
Pavarde1619    Vardas1619     4.24           
Pavarde1620    Vardas1620     4.40           
Pavarde1621    Vardas1621     3.32           
Pavarde1622    Vardas1622     3.16           
Pavarde1627    Vardas1627     2.80           
Pavarde1629    Vardas1629     4.80           
Pavarde1641    Vardas1641     3.36           
Pavarde1644    Vardas1644     2.80           
Pavarde1645    Vardas1645     4.80           
Pavarde1648    Vardas1648     1.80           
Pavarde1650    Vardas1650     4.80           
Pavarde1656    Vardas1656     2.60           
Pavarde1661    Vardas1661     3.52           
Pavarde1669    Vardas1669     4.72           
Pavarde1670    Vardas1670     3.16           
Pavarde1676    Vardas1676     4.24           
Pavarde1682    Vardas1682     4.04           
Pavarde1686    Vardas1686     4.00           
Pavarde1688    Vardas1688     3.24           
Pavarde1692    Vardas1692     4.68           
Pavarde1694    Vardas1694     3.72           
Pavarde1695    Vardas1695     4.56           
Pavarde1696    Vardas1696     3.24           
Pavarde1699    Vardas1699     3.96           
Pavarde1704    Vardas1704     4.08           
Pavarde1706    Vardas1706     3.52           
Pavarde1708    Vardas1708     4.32           
Pavarde1712    Vardas1712     2.72           
Pavarde1715    Vardas1715     3.28           
Pavarde1716    Vardas1716     2.32           
